index,caption
851,There are several people and children looking into water with a blue tiled floor and goldfish .
852,There is a man wearing construction gear  standing next to a bulldozer that is picking up rubble and debris .
853,A beach scene with three boys in swim shorts each holding paddle ball racquets but no ball in sight .
854,A woman on a blue bike with a pink helmet rides by a public fountain as the sun rises over an urban area .
855,A rider in a red shirt rides his or her bike next to an outdoor fountain .
856,Two people with helmets are riding bikes in front of a building .
857,Two bicycle riders are riding along side railroad tracks .
858,A couple enjoy a beautiful day bicycling on a bike trail wearing bicycling safety helmets and gloves .
859,A bike riding couple dressed in bike gear and helmets take a minute to site on a bench to talk and park their bikes .
860,A bike rider with khaki green shorts  a blue shirt  backpack and helmet is riding on the street near a red station wagon that is missing a hubcap on the back drivers side .
861,A child with a blue safety helmet is standing near a blue bicycle .
862,Two little boys in yellow shirts are walking in grass and looking behind them .
863,A kid is pulling a man trying to get him to do something in front of a crowd of people .
864,A young girl in a black shirt and a blue helmet is sitting on a quad  or four wheeler  with her right hand on the handlebars .
865,Two little blond girls in helmets are sitting on a red ATV .
866,The boy is wearing a white baseball uniform and holding a baseball .
867,The back of a lady wearing a blue halter top is shown  a crowd in the distance .
868,A boy with his mouth open and tongue sticking out clinging to a bar next to a platform .
869,A pretty asian girl smiles from a window next to a neon takeout sign .
870,A Husky dog wearing green straps is turning its head away from the object in front of it .
871,A cartoon cutout of Snow White is standing in front of a store display window while a woman in a large hat is standing cross legged at the door .
872,A woman is serving a dish to another woman in a red and white dress .
873,Five sled dogs are pulling a person on a sled  through the snow .
874,A lone musician in black is on stage  playing an acoustic guitar and singing into a microphone .
875,A small boy is sitting in the water and water is splashing up through his legs .
876,A skinny person wearing and Mondesi jacket and jeans dress shoes is walking down the cemented bridge
877,A woman wearing a short-sleeved striped shirt and carrying a green shopping bag examines fish in an open air market while a vendor in a white apron over a gray t-shirt hands her an empty plastic bag .
878,A lady standing wearing black and has a black mohawk has her arm around a guy with a brown bucket hat  green cargo pants and black shirt .
879,a child reaches up into the air as a woman stands to his left and another person is seen wearing jeans to his right
880,A white dog with red straps on it is looking back .
881,Two dogs  one black and one white  face the camera in a field of snow .
882,A dog runs through the water as he looks up at the sky with his mouth open .
883,A dog takes a leap of faith as he jumps into a pool to grab an orange toy .
884,A white dog is jumping in the air attempting to catch a red ball .
885,The boy hops from one picnic table to the other in the park .
886,A woman with a small dog gazes at a man with a larger dog .
887,A man and a woman are at a beach with other people nearby  and the woman is touching the man 's face .
888,A young child in pink is pushing downed leaves as grass into a pile .
889,Woman in a green and white striped shit lying in a chair with a yellow bag  holding a folded piece of paper .
890,A blond lady is reaching for a light in IKEA .
891,Three young women in white dresses perform a twirling dance in front of a crowd .
892,A female swimmer in a black bathing suit about to jump off the racing platform into a pool .
893,Two swimmers race in a pool with a red line between them .
894,Two young  barefooted boys are standing outside next to an area covered with trash ; behind them are tall  green trees and shrubs .
895,A little boy is holding a green and yellow sponge while standing in front of a stove .
896,A woman crouches down next to her terrier dog to smile at a little girl sitting on the sidewalk .
897,A woman standing outside leaning against a shovel which is in a bucket as she stairs at a man with a green cap .
898,A man in a dirty hat and sweater works on a remodeling project .
899,A woman in a long black burqa walks toward a shopping area while a short-haired man with a beard walks beside her .
900,A large group of people are dining in a restaurant and smiling for the camera .
901,A woman with a black purse sitting in front of crystal clear water .
902,A man dressed in white overalls with a red cap  juggling a green ball and flaming torch  in front of a crowd of onlookers .
903,Standing man on phone with seated woman writing  near artist 's outdoor display .
904,A chihuahua on a leash stands outside a door grate  behind which the lower legs  skirt  and hand of the person holding the leash can be seen .
905,Roppolo 's Pizzeria serves is open at night and serving customers .
906,A woman drinking an iced beverage through a straw in a dimly lit room .
907,A man carrying a musical instrument and wearing a gray jacket  purple hat and purple scarf examines some money as he stands near a worn utility pole .
908,A female harp player peers through the middle of her instrument while performing .
909,A girl wearing a red and black striped shirt is sitting on a brick wall near a flower garden .
910,A person in jeans and a blue sweatshirt aims a camera while standing near a crowd of people .
911," A woman with a shopping bag labeled "" sale "" stands in a crowd next to a young man with a camera ."
912,A child in a black cape is being chased by other children .
913,A woman is staring outside to a man in a gray jacket not looking back at her .
914,A man is hiking on a mountain path with an American flag on his backpack .
915,A man sitting at a table wears a red sweater while two glasses of water rest on the table ; one glass is half empty .
916,A baker looks at the camera while leaning on his spatula at the oven door .
917,Employees at a sushi restaurant prepare for dinner time rush .
918,A young child is swung by his or her hands while another child sits on grass watching .
919,A man with sunglasses  a red hat and peach coveralls stands next to a large rope wound around a large spool .
920,A male adolescent or young teenager is wearing camouflaged shorts or long swim trunks and is upside down over a body of water like a lake or reservoir whose cement walls and graveled top appear in the corner .
921,There a several people in a dark bar-type room  including one girl on a stool .
922,Young man with glasses and two small pigtails on front of his hair with bloody face appears to be in Emergency room waiting area .
923,Six shirtless men are standing outside leaning on or standing near a fence .
924,One guy wearing a blue shirt and a cowboy hat is painting a picture  as tourists in the background walk .
925,A blond boy wearing a blue life vest and camo shorts jumps off a diveboard into a blue lake .
926,A boy in blue jeans is playing with a toy car on the lawn .
927,A security officer with a tiny face and big glasses leans on a metal gate looking into the camera .
928,An adult female with dark hair is holding a baby .
929,Man in suit is using his cellphone while sitting on a train .
930,A toddler is staring into the screen of a brightly colored orange and yellow video game in what appears to be a game center .
931,The boy in swim trunks is laying face down on a watery pavement .
932,Three boys in baggy bathing suits play in splashing water in front of a gray  block wall .
933,A young woman draped in a wool shawl intently spinning wool outdoors in early Spring .
934,A man and his friend hiking in a mountain near Bakersfield  California .
935,A man is standing in a forest practicing a martial art .
936,This picture is taken outside a bus with people of Asian descent riding along with open windows .
937,A man is being held by two men wearing security uniforms  while standing outside in front of a sign advertising for Samsung .
938,A girl wearing a black t-shirt is holding a small pizza in a kitchen setting .
939,Two people with backpacks hike up a rocky dirt path next to a conifer tree .
940,Blond child with dirty face holding yellow bottle with red cap  plants in background .
941,A married  left handed woman wearing a long-sleeved red shirt is applying makeup in mirror .
942,rugby player in white number 25 uniform jumps to catch ball as opponent in green number 29 tries to stop him .
943,A man in a bright yellow shirt plays his guitar as another man plays the drums in the background .
944,a transportation vehicle is carrying a crowd of people who are sitting and standing .
945,A cowboy in the rodeo arena holds on tightly as the bucking bronco tries to throw him off  while rodeo helpers and the audience look on .
946,There is a middle-sized white male sleeping in a chair holding a marker and a bottle .
947,A girl in a red and black leotard with white writing is standing next to a man in a cap and a girl in a hot pink and black and white checkered outfit .
948,A man in warm clothes swinging on monkey bars at night .
949,A food vendor is standing on the sidewalk next to his food cart looking at a black woman walking by .
950,A woman with a red jacket and her companion eating snacks .
951,A baby boy wearing a shoulder life saver is at the very edge of an orange pool slide .
952,Girl with green tank top standing in the middle of a train track with multicolor train cars to the right .
953,A young woman in jeans and a tank top standing on railroad tracks .
954,A fisherman is preparing his nets for his next haul .
955,A blond girl sits with her instrument looking off in the distance .
956,A dark-haired bearded man wearing a turquoise shirt with a yellow peace sign on it .
957,A woman in a floral print dress and a shaved head at a store .
958,Two dogs playing in a misty field filled with purple flowers
959,A goggled boy leaps from the edge into a shimmering pool with someone watching on in the background .
960,A dozen workers wearing uniforms & sanitation hats are working on an assembly line in a factory .
961,A man wearing a blue shirt and a plaid cloth wrapped around his waist is trying to obtain something from a tree by using a long pole .
962,Two kids wakeboarding simultaneously decide to signal for a high-five .
963,A man in a white shirt and black pants looks on as other people are seated at tables beneath green umbrellas .
964,Two women  one wearing jeans and one wearing a white skirt  are walking in a building .
965,People are going up towards a man in a white shirt .
966,Puppeteer wearing a purple sleeveless shirt showing off a puppet that looks like a black man with shades playing a saxophone .
967,Two motorists are riding along on their vehicle that is oddly designed and colored .
968,Two soccer players  one from a team wearing red and the other wearing white  are both going for the soccer ball  while people on the bleachers watch .
969,A worker is sweeping off a sidewalk 302 miles from Liverpool .
970,A young Asian boy is standing between to women while they cook meat on sticks .
971,A black dog  with a tennis ball in its mouth  swims through water .
972,Two men  one standing and one on a bicycle are talking outside a building .
973,Pedestrians walk through an open area between several traditional-style Japanese or Chinese buildings .
974,One adult and three children gathered on the floor looking at a picture on a digital camera .
975,A person wearing a hat and carrying a knapsack walks uphill on a sand dune under a dark  cloudy sky and leaves the only visible footprints behind .
976,A small male child running through the grass with a smile on his face .
977,A brown horse is nuzzling a smiling woman 's neck as her hair blows in the wind .
978,A young man and woman dressed in play chef 's hats are eating food at a table .
979,Girls with a blue bucket is playing and splashing in the ocean water .
980,A young boy running with a boogie board into the water
981,Three people stand in line waiting to buy something to eat at a fair booth selling Martins ' Famous Louisiana Sausage 's ( sic ) .
982,One girl is doing a handstand on an outdoor trampoline while another girl stands on the trampoline with one hand in the air .
983,The attractive young brunette girl in a red bikini jumps into a pool in the backyard .
984,A man selling many wicker chairs is pulling a cart of them through the street .
985,A black dog with a red collar walks through the grass with his mouth open and tongue hanging out .
986,Some children are playing on a trampoline  a boy in a red shirt is covering his face as he cries .
987,Four men and women in blue aprons strand in front of a table where there are many white plates and small blue bowls .
988,A person hanging from a telephone pole near the mountains .
989,A man wearing a gray shirt  blue jeans  glasses  and sneakers is teeing of a golf ball with a golf clove .
990,Two small puppies run along the edge of a stone wall nearby a heavily foliaged area .
991,A group of dogs is pulling a sled over snow as the sun sets .
992,A woman in a colorful dress drives a motorized chair past a corner on a city sidewalk  while a man in a long white t-shirt walks towards the road .
993,Young men and women sit at a wooden table on which several partially-drunk beverages have been placed ; the picture is interrupted by an outstretched hand  colored green in the odd light of the wood-paneled interior .
994,Two men near railroad tracks with a caboose coming by .
995,A little girl on the street in a yellowish green and orange dress is holding a Hello Kitty balloon with her right hand .
996,Two people  a boy in yellow and girl in brown  standing at the shore of a lake .
997,A shirtless man is fishing  standing on large rocks that rest next to a boardwalk with a tall lamp post in the forefront .
998,A young girl floats on her back in water and peers over her life jacket .
999,A woman in a dress is holding a camera next to another woman who is laughing .
